time_s,bpf_hz,rpm,bpf_hz_smooth,rpm_smooth
13.568,107.421875,2148.4375,54.6875,1093.75
13.696,54.6875,1093.75,54.6875,1093.75
13.824,54.6875,1093.75,58.59375,1171.875
13.952,54.6875,1093.75,58.59375,1171.875
14.08,58.59375,1171.875,54.6875,1093.75
14.208,58.59375,1171.875,54.6875,1093.75
14.336,58.59375,1171.875,58.59375,1171.875
14.464,54.6875,1093.75,58.59375,1171.875
14.592,54.6875,1093.75,58.59375,1171.875
14.72,107.421875,2148.4375,54.6875,1093.75
14.847999999999999,107.421875,2148.4375,54.6875,1093.75
14.975999999999999,54.6875,1093.75,54.6875,1093.75
15.104,54.6875,1093.75,54.6875,1093.75
15.232,52.734375,1054.6875,52.734375,1054.6875
15.36,52.734375,1054.6875,52.734375,1054.6875
15.488,52.734375,1054.6875,52.734375,1054.6875
15.616,52.734375,1054.6875,52.734375,1054.6875
15.744,52.734375,1054.6875,52.734375,1054.6875
15.872,54.6875,1093.75,52.734375,1054.6875
16.0,56.640625,1132.8125,52.734375,1054.6875
16.128,134.765625,2695.3125,52.734375,1054.6875
16.256,50.78125,1015.625,54.6875,1093.75
16.384,50.78125,1015.625,54.6875,1093.75
16.512,50.78125,1015.625,54.6875,1093.75
16.64,56.640625,1132.8125,54.6875,1093.75
16.768,54.6875,1093.75,56.640625,1132.8125
16.896,56.640625,1132.8125,56.640625,1132.8125
17.024,56.640625,1132.8125,56.640625,1132.8125
17.152,56.640625,1132.8125,56.640625,1132.8125
17.28,56.640625,1132.8125,56.640625,1132.8125
17.408,146.484375,2929.6875,56.640625,1132.8125
17.536,52.734375,1054.6875,56.640625,1132.8125
17.664,56.640625,1132.8125,56.640625,1132.8125
17.791999999999998,56.640625,1132.8125,54.6875,1093.75
17.919999999999998,54.6875,1093.75,54.6875,1093.75
18.048,52.734375,1054.6875,54.6875,1093.75
18.176,54.6875,1093.75,54.6875,1093.75
18.304,54.6875,1093.75,54.6875,1093.75
18.432,50.78125,1015.625,54.6875,1093.75
18.56,82.03125,1640.625,54.6875,1093.75
18.688,56.640625,1132.8125,54.6875,1093.75
18.816,50.78125,1015.625,56.640625,1132.8125
18.944,52.734375,1054.6875,56.640625,1132.8125
19.072,56.640625,1132.8125,56.640625,1132.8125
19.2,70.3125,1406.25,56.640625,1132.8125
19.328,80.078125,1601.5625,58.59375,1171.875
19.456,54.6875,1093.75,58.59375,1171.875
19.584,58.59375,1171.875,58.59375,1171.875
19.712,58.59375,1171.875,54.6875,1093.75
19.84,52.734375,1054.6875,54.6875,1093.75
19.968,52.734375,1054.6875,58.59375,1171.875
20.096,54.6875,1093.75,56.640625,1132.8125
20.224,64.453125,1289.0625,56.640625,1132.8125
20.352,64.453125,1289.0625,60.546875,1210.9375
20.48,56.640625,1132.8125,62.5,1250.0
20.608,60.546875,1210.9375,62.5,1250.0
20.736,62.5,1250.0,60.546875,1210.9375
20.864,136.71875,2734.375,60.546875,1210.9375
20.992,50.78125,1015.625,60.546875,1210.9375
21.12,50.78125,1015.625,60.546875,1210.9375
21.248,60.546875,1210.9375,60.546875,1210.9375
21.376,60.546875,1210.9375,60.546875,1210.9375
21.504,132.8125,2656.25,60.546875,1210.9375
21.632,134.765625,2695.3125,60.546875,1210.9375
21.759999999999998,56.640625,1132.8125,60.546875,1210.9375
21.887999999999998,60.546875,1210.9375,60.546875,1210.9375
22.016,60.546875,1210.9375,56.640625,1132.8125
22.144,54.6875,1093.75,56.640625,1132.8125
22.272,54.6875,1093.75,56.640625,1132.8125
22.4,50.78125,1015.625,54.6875,1093.75
22.528,56.640625,1132.8125,54.6875,1093.75
22.656,56.640625,1132.8125,54.6875,1093.75
22.784,54.6875,1093.75,56.640625,1132.8125
22.912,52.734375,1054.6875,56.640625,1132.8125
23.04,62.5,1250.0,56.640625,1132.8125
23.168,56.640625,1132.8125,56.640625,1132.8125
23.296,56.640625,1132.8125,56.640625,1132.8125
23.424,56.640625,1132.8125,56.640625,1132.8125
23.552,56.640625,1132.8125,56.640625,1132.8125
23.68,52.734375,1054.6875,56.640625,1132.8125
23.808,54.6875,1093.75,54.6875,1093.75
23.936,54.6875,1093.75,54.6875,1093.75
24.064,58.59375,1171.875,54.6875,1093.75
24.192,54.6875,1093.75,54.6875,1093.75
24.32,52.734375,1054.6875,54.6875,1093.75
