epoch,tr_loss,tr_acc,val_acc,val_f1,val_thr,val_auprc
110,0.000658,99.933,99.854,0.997003,0.09,0.999952
111,0.000196,99.971,99.903,0.998004,0.175,0.999976
112,0.000199,99.962,99.805,0.996,0.05,0.99994
113,0.000196,99.971,99.854,0.997003,0.055,0.999928
114,0.000407,99.933,99.757,0.994995,0.05,0.99986
115,0.000373,99.952,99.805,0.996,0.085,0.999912
116,0.000411,99.942,99.805,0.996,0.05,0.999913
117,0.000151,99.99,99.757,0.994995,0.05,0.999822
118,0.000178,99.971,99.708,0.993988,0.05,0.999896
119,0.000294,99.971,99.757,0.995005,0.05,0.998582
120,0.000263,99.962,99.708,0.994024,0.05,0.999802
121,0.000533,99.962,99.611,0.991984,0.05,0.999836
122,0.000536,99.942,99.708,0.993976,0.09,0.999787
123,0.32024,74.363,91.803,0.954955,0.795,0.989914
